East Germany, Exposure to risk (period 1x1), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1956           0            134745.00       142796.83       277541.83
  1956           1            134738.33       142364.67       277103.00
  1956           2            134997.83       142272.67       277270.50
  1956           3            135699.17       142918.17       278617.33
  1956           4            135954.83       143166.67       279121.50
  1956           5            132947.67       139581.83       272529.50
  1956           6            122300.67       127498.00       249798.67
  1956           7            106896.00       110911.83       217807.83
  1956           8             98030.17       101363.67       199393.83
  1956           9             85069.67        88196.17       173265.83
  1956          10             79372.67        81353.50       160726.17
  1956          11            103343.00       105508.83       208851.83
  1956          12            124003.67       128143.00       252146.67
  1956          13            126248.00       130840.33       257088.33
  1956          14            140762.67       145529.83       286292.50
  1956          15            160298.33       165882.00       326180.33
  1956          16            165270.83       171144.50       336415.33
  1956          17            159894.00       164696.67       324590.67
  1956          18            148783.33       151143.00       299926.33
  1956          19            143679.00       145091.00       288770.00
  1956          20            143380.50       145426.17       288806.67
  1956          21            138917.83       142246.33       281164.17
  1956          22            121713.00       124342.17       246055.17
  1956          23            108578.67       107828.00       216406.67
  1956          24            109705.83       103728.67       213434.50
  1956          25            116558.17       105492.67       222050.83
  1956          26            120653.50       106381.50       227035.00
  1956          27            119407.33       102645.83       222053.17
  1956          28            117074.33        94798.00       211872.33
  1956          29            116338.50        85291.83       201630.33
  1956          30            120414.33        81712.50       202126.83
  1956          31            118623.17        76220.50       194843.67
  1956          32            115471.67        70654.50       186126.17
  1956          33            121046.00        73670.33       194716.33
  1956          34            132034.00        80846.67       212880.67
  1956          35            142973.17        86778.83       229752.00
  1956          36            128132.33        77871.67       206004.00
  1956          37             89013.33        54824.17       143837.50
  1956          38             67614.17        41492.50       109106.67
  1956          39             70540.00        42768.50       113308.50
  1956          40             91132.83        54783.50       145916.33
  1956          41            123475.17        74410.83       197886.00
  1956          42            143806.83        88714.83       232521.67
  1956          43            151222.33        95759.83       246982.17
  1956          44            151015.67        97123.17       248138.83
  1956          45            152758.33        98988.67       251747.00
  1956          46            160639.33       106492.17       267131.50
  1956          47            162822.83       111061.00       273883.83
  1956          48            161461.17       113638.33       275099.50
  1956          49            160862.00       116118.33       276980.33
  1956          50            157974.67       119720.17       277694.83
  1956          51            155557.67       123431.33       278989.00
  1956          52            153685.83       122963.17       276649.00
  1956          53            154452.83       122683.33       277136.17
  1956          54            154943.67       122937.83       277881.50
  1956          55            149965.67       119060.33       269026.00
  1956          56            146444.33       113840.00       260284.33
  1956          57            145375.83       107708.33       253084.17
  1956          58            142059.17       101573.50       243632.67
  1956          59            138430.83        96273.33       234704.17
  1956          60            134845.50        91570.67       226416.17
  1956          61            129877.83        86259.17       216137.00
  1956          62            126275.00        83182.33       209457.33
  1956          63            120081.33        79585.17       199666.50
  1956          64            116765.50        77973.83       194739.33
  1956          65            114343.33        77175.67       191519.00
  1956          66            110302.67        74859.83       185162.50
  1956          67            106117.83        72960.33       179078.17
  1956          68            101232.33        70754.83       171987.17
  1956          69             95909.83        67149.67       163059.50
  1956          70             88773.17        62505.83       151279.00
  1956          71             82201.33        58532.33       140733.67
  1956          72             75006.33        53583.33       128589.67
  1956          73             69282.00        49457.50       118739.50
  1956          74             63843.83        45721.83       109565.67
  1956          75             58389.67        41942.17       100331.83
  1956          76             54252.00        39182.83        93434.83
  1956          77             49830.50        36053.00        85883.50
  1956          78             44848.17        32460.67        77308.83
  1956          79             39843.17        28488.67        68331.83
  1956          80             33502.81        24148.04        57650.85
  1956          81             27977.22        20377.01        48354.23
  1956          82             22878.99        16535.20        39414.18
  1956          83             18761.55        13168.81        31930.37
  1956          84             14026.13         9631.54        23657.68
  1956          85             10679.77         7192.44        17872.22
  1956          86              8917.14         5812.12        14729.26
  1956          87              6719.37         4177.57        10896.94
  1956          88              4867.72         2872.58         7740.30
  1956          89              3619.24         2051.73         5670.97
  1956          90              2525.22         1393.72         3918.95
  1956          91              1648.45          873.06         2521.51
  1956          92              1086.51          526.85         1613.36
  1956          93               718.76          308.40         1027.16
  1956          94               416.31          176.89          593.19
  1956          95               250.83           92.77          343.60
  1956          96               136.26           50.20          186.47
  1956          97                68.07           29.88           97.94
  1956          98                37.75           12.47           50.23
  1956          99                17.62            7.29           24.90
  1956         100                 9.37            4.06           13.43
  1956         101                 4.08            1.47            5.55
  1956         102                 1.57            0.20            1.77
  1956         103                 0.26            0.00            0.26
  1956         104                 0.00            0.00            0.00
  1956         105                 0.00            0.00            0.00
  1956         106                 0.00            0.00            0.00
  1956         107                 0.00            0.00            0.00
  1956         108                 0.00            0.00            0.00
  1956         109                 0.00            0.00            0.00
  1956         110+                0.00            0.00            0.00
  1957           0            130705.50       138159.33       268864.83
  1957           1            131820.50       139253.17       271073.67
  1957           2            133116.00       140514.83       273630.83
  1957           3            133253.50       140415.83       273669.33
  1957           4            134031.67       141201.83       275233.50
  1957           5            134303.17       141453.33       275756.50
  1957           6            131211.17       137738.50       268949.67
  1957           7            120626.17       125773.17       246399.33
  1957           8            105457.67       109384.33       214842.00
  1957           9             96593.83        99778.50       196372.33
  1957          10             83790.50        86863.00       170653.50
  1957          11             78068.67        80082.00       158150.67
  1957          12            101762.83       103772.17       205535.00
  1957          13            122192.17       126193.50       248385.67
  1957          14            124063.00       128573.17       252636.17
  1957          15            137909.83       142952.67       280862.50
  1957          16            156865.33       162851.67       319717.00
  1957          17            160878.17       166193.50       327071.67
  1957          18            153255.83       156187.67       309443.50
  1957          19            141567.50       143278.67       284846.17
  1957          20            137170.83       139011.83       276182.67
  1957          21            137806.67       140332.33       278139.00
  1957          22            134299.67       138053.17       272352.83
  1957          23            118186.33       121400.17       239586.50
  1957          24            105814.17       105573.00       211387.17
  1957          25            107230.33       101635.33       208865.67
  1957          26            114012.83       103587.00       217599.83
  1957          27            118313.17       104542.17       222855.33
  1957          28            117111.17       100987.00       218098.17
  1957          29            114802.50        93034.83       207837.33
  1957          30            114083.17        83710.00       197793.17
  1957          31            118068.17        80145.67       198213.83
  1957          32            116261.83        74688.33       190950.17
  1957          33            113259.00        69366.67       182625.67
  1957          34            118812.50        72251.17       191063.67
  1957          35            129494.00        79357.67       208851.67
  1957          36            140241.00        85079.00       225320.00
  1957          37            125808.33        76457.33       202265.67
  1957          38             87375.83        53754.00       141129.83
  1957          39             66259.67        40663.67       106923.33
  1957          40             69107.17        41815.17       110922.33
  1957          41             89374.67        53554.83       142929.50
  1957          42            121148.83        72854.83       194003.67
  1957          43            141249.00        86814.33       228063.33
  1957          44            148549.00        93819.17       242368.17
  1957          45            148413.17        95163.17       243576.33
  1957          46            150199.50        97096.00       247295.50
  1957          47            157919.33       104525.00       262444.33
  1957          48            160231.00       109017.00       269248.00
  1957          49            158877.50       111578.33       270455.83
  1957          50            158366.83       114080.83       272447.67
  1957          51            155600.17       117558.50       273158.67
  1957          52            153112.17       121218.83       274331.00
  1957          53            151296.50       119761.67       271058.17
  1957          54            152068.33       120374.83       272443.17
  1957          55            152459.00       120473.17       272932.17
  1957          56            147532.00       116597.17       264129.17
  1957          57            144003.33       111307.50       255310.83
  1957          58            142944.83       105174.83       248119.67
  1957          59            139607.00        99148.67       238755.67
  1957          60            136004.33        93808.17       229812.50
  1957          61            132234.83        89202.00       221436.83
  1957          62            127170.50        83794.67       210965.17
  1957          63            123398.17        80679.67       204077.83
  1957          64            117233.67        76991.17       194224.83
  1957          65            113785.83        75259.00       189044.83
  1957          66            111119.50        74298.17       185417.67
  1957          67            106992.17        71854.83       178847.00
  1957          68            102677.67        69758.50       172436.17
  1957          69             97608.00        67366.67       164974.67
  1957          70             91987.17        63606.33       155593.50
  1957          71             84876.00        58957.33       143833.33
  1957          72             78246.50        54937.17       133183.67
  1957          73             70993.33        50051.67       121045.00
  1957          74             65261.67        45895.83       111157.50
  1957          75             59695.00        42151.83       101846.83
  1957          76             54270.00        38376.83        92646.83
  1957          77             50060.17        35514.00        85574.17
  1957          78             45491.83        32463.67        77955.50
  1957          79             40579.00        28922.33        69501.33
  1957          80             34870.99        24750.64        59621.63
  1957          81             29712.81        21064.21        50777.02
  1957          82             24485.05        17525.84        42010.89
  1957          83             19722.32        14018.53        33740.85
  1957          84             15954.22        10982.65        26936.87
  1957          85             11719.30         7891.21        19610.51
  1957          86              8753.44         5761.94        14515.38
  1957          87              7208.81         4551.46        11760.26
  1957          88              5312.04         3210.41         8522.44
  1957          89              3783.88         2130.92         5914.80
  1957          90              2767.41         1483.06         4250.47
  1957          91              1881.06          996.22         2877.28
  1957          92              1189.62          599.06         1788.68
  1957          93               777.51          343.19         1120.70
  1957          94               500.43          202.23          702.66
  1957          95               273.81          119.39          393.19
  1957          96               154.83           54.11          208.94
  1957          97                80.10           28.54          108.63
  1957          98                41.73           17.54           59.27
  1957          99                20.75            8.47           29.23
  1957         100                 8.97            3.93           12.90
  1957         101                 4.66            2.45            7.12
  1957         102                 1.70            0.80            2.50
  1957         103                 0.40            0.00            0.40
  1957         104                 0.00            0.00            0.00
  1957         105                 0.00            0.00            0.00
  1957         106                 0.00            0.00            0.00
  1957         107                 0.00            0.00            0.00
  1957         108                 0.00            0.00            0.00
  1957         109                 0.00            0.00            0.00
  1957         110+                0.00            0.00            0.00
  1958           0            128605.50       136166.33       264771.83
  1958           1            128104.33       134921.83       263026.17
  1958           2            130519.50       137771.50       268291.00
  1958           3            131740.17       139050.83       270791.00
  1958           4            131939.17       138988.67       270927.83
  1958           5            132703.83       139777.50       272481.33
  1958           6            132860.50       139972.33       272832.83
  1958           7            129820.83       136292.00       266112.83
  1958           8            119465.50       124469.33       243934.83
  1958           9            104345.83       108069.33       212415.17
  1958          10             95484.67        98597.17       194081.83
  1958          11             82803.67        85870.00       168673.67
  1958          12             77122.00        79069.17       156191.17
  1958          13            100582.33       102483.17       203065.50
  1958          14            120517.67       124381.17       244898.83
  1958          15            122221.00       126786.00       249007.00
  1958          16            135714.67       140881.50       276596.17
  1958          17            153855.67       159291.17       313146.83
  1958          18            156005.83       159601.67       315607.50
  1958          19            147985.33       150137.33       298122.67
  1958          20            137134.50       139399.17       276533.67
  1958          21            133458.17       135892.00       269350.17
  1958          22            134566.67       137652.50       272219.17
  1958          23            131526.33       135880.17       267406.50
  1958          24            116073.50       119766.17       235839.67
  1958          25            104165.33       104202.33       208367.67
  1958          26            105528.17       100450.50       205978.67
  1958          27            112473.50       102350.67       214824.17
  1958          28            116679.83       103449.67       220129.50
  1958          29            115557.17        99778.83       215336.00
  1958          30            113230.67        91961.67       205192.33
  1958          31            112510.33        82634.17       195144.50
  1958          32            116401.50        79065.17       195466.67
  1958          33            114668.00        73735.17       188403.17
  1958          34            111730.17        68453.67       180183.83
  1958          35            117047.83        71275.83       188323.67
  1958          36            127661.67        78271.83       205933.50
  1958          37            138253.50        83879.83       222133.33
  1958          38            124025.83        75435.67       199461.50
  1958          39             86062.00        53085.17       139147.17
  1958          40             65213.33        40025.33       105238.67
  1958          41             67980.33        41122.50       109102.83
  1958          42             87981.17        52631.17       140612.33
  1958          43            119263.50        71697.50       190961.00
  1958          44            139088.50        85435.50       224524.00
  1958          45            146299.67        92359.67       238659.33
  1958          46            146209.67        93762.17       239971.83
  1958          47            148012.00        95634.50       243646.50
  1958          48            155592.33       102907.83       258500.17
  1958          49            157870.50       107388.67       265259.17
  1958          50            156649.33       109984.33       266633.67
  1958          51            156175.33       112394.83       268570.17
  1958          52            153311.00       115740.17       269051.17
  1958          53            150921.67       119332.67       270254.33
  1958          54            149106.67       117823.33       266930.00
  1958          55            149844.83       118331.33       268176.17
  1958          56            150151.33       118244.83       268396.17
  1958          57            145202.17       114306.67       259508.83
  1958          58            141709.83       108939.50       250649.33
  1958          59            140595.33       102774.33       243369.67
  1958          60            137231.50        96678.67       233910.17
  1958          61            133478.50        91405.50       224884.00
  1958          62            129620.67        86754.17       216374.83
  1958          63            124350.50        81328.50       205679.00
  1958          64            120443.50        78165.67       198609.17
  1958          65            114246.50        74352.17       188598.67
  1958          66            110573.17        72399.67       182972.83
  1958          67            107769.33        71245.83       179015.17
  1958          68            103580.67        68749.83       172330.50
  1958          69             98995.00        66463.17       165458.17
  1958          70             93685.33        63781.67       157467.00
  1958          71             87922.67        59989.50       147912.17
  1958          72             80822.00        55372.33       136194.33
  1958          73             74068.00        51255.83       125323.83
  1958          74             66848.33        46346.83       113195.17
  1958          75             61010.33        42281.50       103291.83
  1958          76             55384.83        38566.33        93951.17
  1958          77             49958.17        34740.67        84698.83
  1958          78             45652.17        31921.17        77573.33
  1958          79             41090.00        28858.50        69948.50
  1958          80             35490.91        24941.46        60432.37
  1958          81             30904.00        21523.14        52427.13
  1958          82             25966.81        18062.54        44029.35
  1958          83             21068.38        14787.68        35856.06
  1958          84             16734.65        11605.86        28340.51
  1958          85             13247.22         8921.48        22168.70
  1958          86              9534.63         6288.04        15822.68
  1958          87              7041.61         4498.11        11539.72
  1958          88              5648.81         3486.79         9135.60
  1958          89              4096.87         2379.07         6475.94
  1958          90              2862.72         1543.75         4406.47
  1958          91              2019.58         1059.39         3078.97
  1958          92              1359.39          674.72         2034.11
  1958          93               837.95          392.39         1230.34
  1958          94               545.18          222.69          767.86
  1958          95               330.43          131.56          461.99
  1958          96               164.14           71.22          235.36
  1958          97                92.00           30.44          122.44
  1958          98                48.76           17.20           65.97
  1958          99                22.57            9.88           32.44
  1958         100                10.15            2.85           13.00
  1958         101                 4.43            1.28            5.71
  1958         102                 1.94            0.62            2.55
  1958         103                 0.36            0.08            0.44
  1958         104                 0.00            0.00            0.00
  1958         105                 0.00            0.00            0.00
  1958         106                 0.00            0.00            0.00
  1958         107                 0.00            0.00            0.00
  1958         108                 0.00            0.00            0.00
  1958         109                 0.00            0.00            0.00
  1958         110+                0.00            0.00            0.00
  1959           0            133279.50       141070.00       274349.50
  1959           1            126631.17       133554.17       260185.33
  1959           2            127370.50       134074.50       261445.00
  1959           3            129729.33       136835.67       266565.00
  1959           4            130934.83       138151.83       269086.67
  1959           5            131149.67       138098.17       269247.83
  1959           6            131752.33       138798.33       270550.67
  1959           7            131989.00       139037.17       271026.17
  1959           8            129048.50       135454.50       264503.00
  1959           9            118647.33       123543.83       242191.17
  1959          10            103632.50       107254.67       210887.17
  1959          11             94724.33        97771.83       192496.17
  1959          12             82159.17        85144.00       167303.17
  1959          13             76482.33        78363.83       154846.17
  1959          14             99505.50       101339.50       200845.00
  1959          15            119211.17       123030.33       242241.50
  1959          16            120860.00       125297.50       246157.50
  1959          17            134223.50       138896.50       273120.00
  1959          18            151571.00       155810.33       307381.33
  1959          19            153380.50       156692.67       310073.17
  1959          20            146085.17       148739.50       294824.67
  1959          21            135598.33       138454.83       274053.17
  1959          22            132098.17       135155.00       267253.17
  1959          23            133260.83       137012.17       270273.00
  1959          24            130355.83       135238.83       265594.67
  1959          25            115241.17       119272.33       234513.50
  1959          26            103358.17       103749.33       207107.50
  1959          27            104786.00       100035.67       204821.67
  1959          28            111676.33       101942.00       213618.33
  1959          29            115835.17       103064.00       218899.17
  1959          30            114691.17        99346.33       214037.50
  1959          31            112324.33        91514.50       203838.83
  1959          32            111590.50        82127.67       193718.17
  1959          33            115436.67        78577.33       194014.00
  1959          34            113657.00        73232.67       186889.67
  1959          35            110631.33        67982.67       178614.00
  1959          36            115968.33        70767.00       186735.33
  1959          37            126413.67        77612.17       204025.83
  1959          38            136866.17        83160.67       220026.83
  1959          39            122771.17        74805.83       197577.00
  1959          40             85183.17        52595.83       137779.00
  1959          41             64443.50        39588.17       104031.67
  1959          42             67148.33        40641.83       107790.17
  1959          43             86844.50        52082.33       138926.83
  1959          44            117728.67        70886.67       188615.33
  1959          45            137367.33        84482.83       221850.17
  1959          46            144487.33        91304.33       235791.67
  1959          47            144423.50        92685.83       237109.33
  1959          48            146123.50        94460.67       240584.17
  1959          49            153659.33       101656.83       255316.17
  1959          50            155913.83       106102.17       262016.00
  1959          51            154683.00       108579.33       263262.33
  1959          52            154139.00       110920.83       265059.83
  1959          53            151312.17       114125.50       265437.67
  1959          54            148874.00       117668.67       266542.67
  1959          55            147078.67       116023.17       263101.83
  1959          56            147717.83       116341.83       264059.67
  1959          57            147874.50       116142.00       264016.50
  1959          58            142927.00       112045.83       254972.83
  1959          59            139454.17       106595.17       246049.33
  1959          60            138189.33       100376.67       238566.00
  1959          61            134709.17        94234.83       228944.00
  1959          62            130846.67        88976.50       219823.17
  1959          63            126823.50        84280.33       211103.83
  1959          64            121332.00        78839.83       200171.83
  1959          65            117348.33        75505.83       192854.17
  1959          66            111034.33        71584.17       182618.50
  1959          67            107273.33        69448.83       176722.17
  1959          68            104231.33        68122.50       172353.83
  1959          69             99846.83        65620.67       165467.50
  1959          70             95034.83        63042.17       158077.00
  1959          71             89556.33        60153.83       149710.17
  1959          72             83723.33        56399.00       140122.33
  1959          73             76541.17        51768.83       128310.00
  1959          74             69735.67        47565.17       117300.83
  1959          75             62496.67        42682.17       105178.83
  1959          76             56713.50        38682.00        95395.50
  1959          77             51003.17        34959.50        85962.67
  1959          78             45637.33        31252.17        76889.50
  1959          79             41277.67        28397.50        69675.17
  1959          80             35781.44        24729.13        60510.56
  1959          81             31445.74        21681.13        53126.87
  1959          82             27022.66        18493.64        45516.30
  1959          83             22360.81        15238.54        37599.35
  1959          84             17864.88        12278.18        30143.06
  1959          85             13921.15         9460.70        23381.85
  1959          86             10825.05         7153.65        17978.70
  1959          87              7687.97         4946.71        12634.68
  1959          88              5520.27         3444.94         8965.22
  1959          89              4339.98         2620.46         6960.43
  1959          90              3089.71         1738.74         4828.44
  1959          91              2081.22         1105.58         3186.80
  1959          92              1444.58          731.23         2175.80
  1959          93               950.39          443.06         1393.45
  1959          94               565.29          250.22          815.51
  1959          95               363.01          143.35          506.36
  1959          96               199.76           80.23          279.99
  1959          97                93.81           45.55          139.36
  1959          98                54.83           19.11           73.94
  1959          99                26.26            8.54           34.80
  1959         100                12.57            3.68           16.25
  1959         101                 5.93            0.93            6.85
  1959         102                 2.36            0.21            2.57
  1959         103                 0.81            0.00            0.81
  1959         104                 0.16            0.00            0.16
  1959         105                 0.00            0.00            0.00
  1959         106                 0.00            0.00            0.00
  1959         107                 0.00            0.00            0.00
  1959         108                 0.00            0.00            0.00
  1959         109                 0.00            0.00            0.00
  1959         110+                0.00            0.00            0.00
  1960           0            138730.17       146271.17       285001.33
  1960           1            131139.67       138389.17       269528.83
  1960           2            125947.33       132819.50       258766.83
  1960           3            126695.17       133269.50       259964.67
  1960           4            129030.00       136028.33       265058.33
  1960           5            130233.00       137311.00       267544.00
  1960           6            130365.67       137285.50       267651.17
  1960           7            130905.83       137941.00       268846.83
  1960           8            131152.00       138189.00       269341.00
  1960           9            128255.17       134543.17       262798.33
  1960          10            117849.50       122658.67       240508.17
  1960          11            102819.83       106405.17       209225.00
  1960          12             93990.00        96985.00       190975.00
  1960          13             81517.00        84400.50       165917.50
  1960          14             75763.33        77665.17       153428.50
  1960          15             98480.67       100372.33       198853.00
  1960          16            117830.83       121543.50       239374.33
  1960          17            119445.67       123513.50       242959.17
  1960          18            132074.33       135655.67       267730.00
  1960          19            148624.67       152256.83       300881.50
  1960          20            150947.00       154353.83       305300.83
  1960          21            144074.00       147023.83       291097.83
  1960          22            134068.83       137288.67       271357.50
  1960          23            130752.83       134089.17       264842.00
  1960          24            132052.50       136149.50       268202.00
  1960          25            129283.17       134480.83       263764.00
  1960          26            114355.83       118606.67       232962.50
  1960          27            102612.33       103176.50       205788.83
  1960          28            104064.83        99566.83       203631.67
  1960          29            110884.50       101549.17       212433.67
  1960          30            114996.67       102547.33       217544.00
  1960          31            113881.33        98814.50       212695.83
  1960          32            111450.83        90897.67       202348.50
  1960          33            110696.83        81605.67       192302.50
  1960          34            114519.33        78002.33       192521.67
  1960          35            112637.67        72645.67       185283.33
  1960          36            109664.67        67408.33       177073.00
  1960          37            114933.83        70225.67       185159.50
  1960          38            125238.67        77007.67       202246.33
  1960          39            135526.67        82415.83       217942.50
  1960          40            121507.17        74004.33       195511.50
  1960          41             84210.17        52026.00       136236.17
  1960          42             63715.50        39188.67       102904.17
  1960          43             66341.50        40181.50       106523.00
  1960          44             85832.83        51499.67       137332.50
  1960          45            116413.67        70072.67       186486.33
  1960          46            135740.50        83449.00       219189.50
  1960          47            142760.00        90201.17       232961.17
  1960          48            142654.67        91547.67       234202.33
  1960          49            144392.33        93199.17       237591.50
  1960          50            151728.50       100379.00       252107.50
  1960          51            153956.50       104631.00       258587.50
  1960          52            152690.50       107100.83       259791.33
  1960          53            152140.67       109266.67       261407.33
  1960          54            149307.83       112392.33       261700.17
  1960          55            146858.83       115689.83       262548.67
  1960          56            144994.67       113958.00       258952.67
  1960          57            145502.17       114181.67       259683.83
  1960          58            145569.33       113770.83       259340.17
  1960          59            140628.00       109592.67       250220.67
  1960          60            137100.33       104073.50       241173.83
  1960          61            135559.17        97708.83       233268.00
  1960          62            132007.17        91555.17       223562.33
  1960          63            127983.50        86297.67       214281.17
  1960          64            123792.83        81506.67       205299.50
  1960          65            118251.33        76026.67       194278.00
  1960          66            114038.00        72477.50       186515.50
  1960          67            107643.17        68534.00       176177.17
  1960          68            103668.83        66246.50       169915.33
  1960          69            100403.50        64830.83       165234.33
  1960          70             95861.50        62153.67       158015.17
  1960          71             90739.50        59297.00       150036.50
  1960          72             85224.17        56346.00       141570.17
  1960          73             79229.17        52581.67       131810.83
  1960          74             71986.50        47958.83       119945.33
  1960          75             65114.17        43688.33       108802.50
  1960          76             57965.33        38845.83        96811.17
  1960          77             52134.17        34935.17        87069.33
  1960          78             46420.33        31272.17        77692.50
  1960          79             41030.00        27715.83        68745.83
  1960          80             35600.84        24182.99        59783.82
  1960          81             31590.60        21376.13        52966.73
  1960          82             27267.91        18479.79        45747.70
  1960          83             23049.00        15477.13        38526.13
  1960          84             18765.64        12578.54        31344.18
  1960          85             14701.55         9906.51        24608.06
  1960          86             11298.49         7516.20        18814.68
  1960          87              8593.22         5561.65        14154.87
  1960          88              5935.30         3727.71         9663.01
  1960          89              4175.61         2561.27         6736.88
  1960          90              3204.64         1864.62         5069.26
  1960          91              2231.21         1193.07         3424.28
  1960          92              1428.38          733.42         2161.80
  1960          93               980.58          479.73         1460.30
  1960          94               614.89          272.22          887.11
  1960          95               360.79          152.56          513.34
  1960          96               216.84           84.02          300.86
  1960          97               120.59           46.73          167.32
  1960          98                54.14           30.72           84.86
  1960          99                27.83           11.27           39.10
  1960         100                15.09            5.75           20.84
  1960         101                 6.68            2.89            9.57
  1960         102                 2.85            0.87            3.72
  1960         103                 1.01            0.21            1.21
  1960         104                 0.19            0.00            0.19
  1960         105                 0.00            0.00            0.00
  1960         106                 0.00            0.00            0.00
  1960         107                 0.00            0.00            0.00
  1960         108                 0.00            0.00            0.00
  1960         109                 0.00            0.00            0.00
  1960         110+                0.00            0.00            0.00
  1961           0            141053.00       148485.33       289538.33
  1961           1            136272.67       143186.33       279459.00
  1961           2            130055.00       137196.67       267251.67
  1961           3            124886.67       131654.00       256540.67
  1961           4            125683.50       132051.00       257734.50
  1961           5            127954.50       134844.50       262799.00
  1961           6            129100.67       136153.00       265253.67
  1961           7            129168.17       136084.00       265252.17
  1961           8            129786.17       136748.50       266534.67
  1961           9            130092.00       136992.33       267084.33
  1961          10            127116.33       133327.00       260443.33
  1961          11            116763.00       121477.00       238240.00
  1961          12            101796.67       105378.33       207175.00
  1961          13             93041.67        95950.00       188991.67
  1961          14             80611.67        83499.50       164111.17
  1961          15             74866.67        76774.17       151640.83
  1961          16             97150.17        98868.67       196018.83
  1961          17            116155.83       119493.33       235649.17
  1961          18            117064.33       120142.67       237207.00
  1961          19            128702.67       131404.67       260107.33
  1961          20            144985.00       148117.33       293102.33
  1961          21            147436.33       150769.00       298205.33
  1961          22            141303.83       144044.00       285347.83
  1961          23            131763.67       134795.50       266559.17
  1961          24            128659.33       132042.33       260701.67
  1961          25            130228.33       134127.00       264355.33
  1961          26            127613.17       132722.33       260335.50
  1961          27            112957.17       117036.50       229993.67
  1961          28            101459.83       101977.67       203437.50
  1961          29            102906.00        98470.83       201376.83
  1961          30            109689.83       100433.17       210123.00
  1961          31            113838.33       101412.00       215250.33
  1961          32            112601.83        97662.00       210263.83
  1961          33            110265.00        89893.00       200158.00
  1961          34            109512.50        80639.17       190151.67
  1961          35            113221.33        77052.00       190273.33
  1961          36            111310.00        71696.17       183006.17
  1961          37            108407.17        66634.50       175041.67
  1961          38            113554.17        69455.00       183009.17
  1961          39            123747.17        76113.50       199860.67
  1961          40            133872.17        81295.17       215167.33
  1961          41            119958.33        73056.00       193014.33
  1961          42             83084.83        51359.17       134444.00
  1961          43             62796.50        38621.00       101417.50
  1961          44             65377.00        39570.50       104947.50
  1961          45             84598.67        50705.50       135304.17
  1961          46            114776.33        69059.17       183835.50
  1961          47            133799.83        82226.83       216026.67
  1961          48            140705.33        88835.17       229540.50
  1961          49            140605.33        90114.17       230719.50
  1961          50            142246.33        91782.33       234028.67
  1961          51            149544.50        98862.67       248407.17
  1961          52            151634.50       102929.50       254564.00
  1961          53            150501.33       105382.00       255883.33
  1961          54            149884.83       107384.50       257269.33
  1961          55            147023.33       110342.17       257365.50
  1961          56            144548.67       113521.33       258070.00
  1961          57            142703.33       111665.17       254368.50
  1961          58            143171.33       111703.67       254875.00
  1961          59            143129.17       111226.67       254355.83
  1961          60            138250.00       106981.00       245231.00
  1961          61            134514.17       101296.00       235810.17
  1961          62            132802.17        94866.00       227668.17
  1961          63            129092.33        88778.17       217870.50
  1961          64            124999.17        83497.33       208496.50
  1961          65            120722.00        78687.33       199409.33
  1961          66            115039.33        73010.33       188049.67
  1961          67            110613.17        69423.33       180036.50
  1961          68            104219.17        65444.00       169663.17
  1961          69            100007.33        63104.33       163111.67
